iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462899000,516871,517,4,504,1778834081,73912179
462899125,516935,517,4,501,1778834081,194066388
462899250,517000,517,4,500,1778834081,318715021
462899375,517064,517,4,499,1778834081,445121493
462899500,517129,517,4,502,1778834081,571071579
462899625,517194,517,4,505,1778834081,696005622
462899750,517258,517,4,500,1778834081,816136866
462899875,517323,517,4,499,1778834081,945024184
462900000,517388,517,4,498,1778834082,74896952
462900125,517452,517,4,501,1778834082,193766612
462900250,517517,517,4,498,1778834082,319138044
462900375,517581,517,4,492,1778834082,445579783
462900500,517646,517,4,489,1778834082,568869817
462900625,517711,517,4,481,1778834082,689980795
462900750,517775,517,4,478,1778834082,818508181
462900875,517840,517,4,477,1778834082,945340450
462901000,517905,517,4,477,1778834083,74017766
462901125,517969,517,4,476,1778834083,196326242
462901250,518034,517,4,467,1778834083,320438765
462901375,518099,517,4,461,1778834083,444863244
462901500,518163,517,4,456,1778834083,564939919
462901625,518228,517,4,452,1778834083,694041708
462901750,518292,517,4,450,1778834083,818382757
462901875,518357,517,4,448,1778834083,945150163
462902000,518422,517,4,446,1778834084,72816256
462902125,518486,517,4,446,1778834084,194776146
462902250,518551,517,4,446,1778834084,319823107
462902375,518615,517,4,445,1778834084,441905176
462902500,518680,517,4,444,1778834084,570010440
462902625,518745,517,4,443,1778834084,695053134
462902750,518809,517,4,441,1778834084,819763718
462902875,518874,517,4,440,1778834084,944858053
462903000,518939,517,4,439,1778834085,72735388
462903125,519003,517,4,439,1778834085,193451588
462903250,519068,517,4,437,1778834085,318760780
462903375,519132,517,4,437,1778834085,445467789
462903500,519197,517,4,438,1778834085,570606215
462903625,519262,517,4,437,1778834085,694780679
462903750,519326,517,4,437,1778834085,819947014
462903875,519391,517,4,437,1778834085,945561397
462904000,519456,517,4,436,1778834086,74642819
462904125,519520,517,4,435,1778834086,195845781
462904250,519585,517,4,434,1778834086,318031754
462904375,519649,517,4,431,1778834086,445154379
462904500,519714,517,4,431,1778834086,568831513
462904625,519779,517,4,429,1778834086,694385922
462904750,519843,517,4,429,1778834086,818169998
462904875,519908,517,4,429,1778834086,945180745
462905000,519972,517,4,429,1778834087,74784950
462905125,520037,517,4,429,1778834087,190160704
462905250,520102,517,4,430,1778834087,318607829
462905375,520166,517,4,430,1778834087,443708472
462905500,520231,517,4,430,1778834087,568528549
462905625,520296,517,4,430,1778834087,694852738
462905750,520360,517,4,429,1778834087,818779104
462905875,520425,517,4,429,1778834087,944669917
462906000,520489,517,4,430,1778834088,69341258
462906125,520554,517,4,430,1778834088,195779926
462906250,520619,517,4,429,1778834088,319393891
462906375,520683,517,4,429,1778834088,444777628
462906500,520748,517,4,428,1778834088,567816182
462906625,520812,517,4,428,1778834088,693288576
462906750,520877,517,4,428,1778834088,817345847
462906875,520942,517,4,428,1778834088,940548319
462907000,521006,517,4,428,1778834089,72759057
462907125,521071,517,4,425,1778834089,196524083
462907250,521135,517,4,422,1778834089,322087996
462907375,521200,517,4,421,1778834089,445826720
462907500,521265,517,4,420,1778834089,570538117
462907625,521329,517,4,423,1778834089,694091908
462907750,521394,517,4,425,1778834089,817936879
462907875,521458,517,4,423,1778834089,945051384
462908000,521523,517,4,422,1778834090,73539586
462908125,521588,517,4,422,1778834090,194469512
462908250,521652,517,4,421,1778834090,319869230
462908375,521717,517,4,423,1778834090,442339775
462908500,521781,517,4,423,1778834090,569363924
462908625,521846,517,4,424,1778834090,695036267
462908750,521911,517,4,424,1778834090,816368486
462908875,521975,517,4,425,1778834090,943571627
462909000,522040,517,4,424,1778834091,73323472
462909125,522104,517,4,424,1778834091,194128087
462909250,522169,517,4,424,1778834091,319921266
462909375,522234,517,4,424,1778834091,446151055
462909500,522298,517,4,425,1778834091,569413372
462909625,522363,517,4,424,1778834091,690160380
462909750,522427,517,4,424,1778834091,817741937
462909875,522492,517,4,423,1778834091,943303160
462910000,522556,516,4,423,1778834092,75270392
462910125,522621,516,4,424,1778834092,194621275
462910250,522686,517,4,425,1778834092,318349379
462910375,522750,517,4,425,1778834092,442259835
