iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462680750,3,223,2,8,7124176,7828802,1778833862,815115147
462680875,3,223,2,8,7124176,7828927,1778833862,939264403
462681000,3,223,2,8,7124176,7829052,1778833863,65921717
462681125,3,223,2,8,7124176,7829177,1778833863,191376442
462681250,3,223,2,8,7124176,7829302,1778833863,316844391
462681375,3,223,2,8,7124176,7829427,1778833863,441094605
462681500,3,223,2,8,7124176,7829552,1778833863,565511009
462681625,3,223,2,8,7124176,7829677,1778833863,690301410
462681750,3,223,2,8,7124176,7829802,1778833863,814988517
462681875,3,223,2,8,7124176,7829927,1778833863,937216022
462682000,3,223,2,8,7124176,7830052,1778833864,69203060
462682125,3,223,2,8,7124176,7830177,1778833864,192126785
462682250,3,223,2,8,7124176,7830302,1778833864,316279003
462682375,3,223,2,8,7124176,7830427,1778833864,439142044
462682500,3,223,2,8,7124176,7830552,1778833864,566364726
462682625,3,223,2,8,7124176,7830677,1778833864,689812197
462682750,3,223,2,8,7124176,7830802,1778833864,815086627
462682875,3,223,2,8,7124176,7830927,1778833864,940041913
462683000,3,223,2,8,7124176,7831052,1778833865,69809256
462683125,3,223,2,8,7124176,7831177,1778833865,190019107
462683250,3,223,2,8,7124176,7831302,1778833865,315487640
462683375,3,223,2,8,7124176,7831427,1778833865,439452122
462683500,3,223,2,8,7124176,7831552,1778833865,565097598
462683625,3,223,2,8,7124176,7831677,1778833865,691133728
462683750,3,223,2,8,7124176,7831802,1778833865,812306758
462683875,3,223,2,8,7124176,7831927,1778833865,939039076
462684000,3,223,2,8,7124176,7832052,1778833866,68875939
462684125,3,223,2,8,7124176,7832177,1778833866,192155105
462684250,3,223,2,8,7124176,7832302,1778833866,317946759
462684375,3,223,2,8,7124176,7832427,1778833866,442017960
462684500,3,223,2,8,7124176,7832552,1778833866,567366803
462684625,3,223,2,8,7124176,7832677,1778833866,688216005
462684750,3,223,2,8,7124176,7832802,1778833866,816179725
462684875,3,223,2,8,7124176,7832927,1778833866,942426906
462685000,3,223,2,8,7124176,7833052,1778833867,73128490
462685125,3,223,2,8,7124176,7833177,1778833867,192243011
462685250,3,223,2,8,7124176,7833302,1778833867,317241248
462685375,3,223,2,8,7124176,7833427,1778833867,441197677
462685500,3,223,2,8,7124176,7833552,1778833867,562101678
462685625,3,223,2,8,7124176,7833677,1778833867,691754393
462685750,3,223,2,8,7124176,7833802,1778833867,816892186
462685875,3,223,2,8,7124176,7833927,1778833867,941100667
462686000,3,223,2,8,7124176,7834052,1778833868,71930271
462686125,3,223,2,8,7124176,7834177,1778833868,191211625
462686250,3,223,2,8,7124176,7834302,1778833868,316895421
462686375,3,223,2,8,7124176,7834427,1778833868,439184100
462686500,3,223,2,8,7124176,7834552,1778833868,567948750
462686625,3,223,2,8,7124176,7834677,1778833868,692888454
462686750,3,223,2,8,7124176,7834802,1778833868,815926856
462686875,3,223,2,8,7124176,7834927,1778833868,940285562
462687000,3,223,2,8,7124176,7835052,1778833869,70375187
462687125,3,223,2,8,7124176,7835177,1778833869,192396022
462687250,3,223,2,8,7124176,7835302,1778833869,318827915
462687375,3,223,2,8,7124176,7835427,1778833869,445227401
462687500,3,223,2,8,7124176,7835552,1778833869,570274186
462687625,3,223,2,8,7124176,7835677,1778833869,693454853
462687750,3,223,2,8,7124176,7835802,1778833869,817292207
462687875,3,223,2,8,7124176,7835927,1778833869,942354436
462688000,3,223,2,8,7124176,7836052,1778833870,74009756
462688125,3,223,2,8,7124176,7836177,1778833870,194263846
462688250,3,223,2,8,7124176,7836302,1778833870,316996380
462688375,3,223,2,8,7124176,7836427,1778833870,442023977
462688500,3,223,2,8,7124176,7836552,1778833870,566900097
462688625,3,223,2,8,7124176,7836677,1778833870,692272054
462688750,3,223,2,8,7124176,7836802,1778833870,817198886
462688875,3,223,2,8,7124176,7836927,1778833870,944248842
462689000,3,223,2,8,7124176,7837052,1778833871,73047848
462689125,3,223,2,8,7124176,7837177,1778833871,189321471
462689250,3,223,2,8,7124176,7837302,1778833871,318479251
462689375,3,223,2,8,7124176,7837427,1778833871,443472859
462689500,3,223,2,8,7124176,7837552,1778833871,568335901
462689625,3,223,2,8,7124176,7837677,1778833871,694127478
462689750,3,223,2,8,7124176,7837802,1778833871,818267427
462689875,3,223,2,8,7124176,7837927,1778833871,941516205
462690000,3,223,2,8,7124176,7838052,1778833872,68203656
462690125,3,223,2,8,7124176,7838177,1778833872,193130005
462690250,3,223,2,8,7124176,7838302,1778833872,318954669
462690375,3,223,2,8,7124176,7838427,1778833872,444159536
462690500,3,223,2,8,7124176,7838552,1778833872,568539735
462690625,3,223,2,8,7124176,7838677,1778833872,692851222
462690750,3,223,2,8,7124176,7838802,1778833872,817403325
