version,reserved0,refStationId,iTow,relPosN,relPosE,relPosD,relPosLength,relPosHeading,reserved1,relPosHPN,relPosHPE,relPosHPD,relPosHPLength,accN,accE,accD,accLength,accHeading,reserved2,flags,bag_t.secs,bag_t.nsecs
1,0,0,462695500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,570148298
1,0,0,462695625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,695015591
1,0,0,462695750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,818937793
1,0,0,462695875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833877,944520534
1,0,0,462696000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,73280439
1,0,0,462696125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,195515213
1,0,0,462696250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,320394663
1,0,0,462696375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,446351638
1,0,0,462696500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,570006715
1,0,0,462696625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,694620340
1,0,0,462696750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,819256988
1,0,0,462696875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833878,944406450
1,0,0,462697000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,74479486
1,0,0,462697125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,195061103
1,0,0,462697250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,316927470
1,0,0,462697375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,444363756
1,0,0,462697500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,570326674
1,0,0,462697625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,694724489
1,0,0,462697750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,819427756
1,0,0,462697875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833879,945169977
1,0,0,462698000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,74765074
1,0,0,462698125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,190616209
1,0,0,462698250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,320329364
1,0,0,462698375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,444475018
1,0,0,462698500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,570041151
1,0,0,462698625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,695006257
1,0,0,462698750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,819514437
1,0,0,462698875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833880,944820990
1,0,0,462699000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,69413145
1,0,0,462699125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,195211108
1,0,0,462699250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,321388623
1,0,0,462699375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,445279706
1,0,0,462699500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,569802137
1,0,0,462699625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,696465081
1,0,0,462699750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,819336039
1,0,0,462699875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833881,942025107
1,0,0,462700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,76359142
1,0,0,462700125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,197205563
1,0,0,462700250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,322370587
1,0,0,462700375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,446300059
1,0,0,462700500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,570310675
1,0,0,462700625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,695013630
1,0,0,462700750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,821028081
1,0,0,462700875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833882,945464023
1,0,0,462701000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,74964771
1,0,0,462701125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,194719481
1,0,0,462701250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,319938758
1,0,0,462701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,445306082
1,0,0,462701500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,570433765
1,0,0,462701625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,695054488
1,0,0,462701750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,818394474
1,0,0,462701875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833883,944527313
1,0,0,462702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,74267336
1,0,0,462702125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,194413513
1,0,0,462702250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,320220156
1,0,0,462702375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,446099825
1,0,0,462702500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,571604190
1,0,0,462702625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,690455668
1,0,0,462702750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,819183651
1,0,0,462702875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833884,945167322
1,0,0,462703000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833885,74410585
1,0,0,462703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833885,196442336
1,0,0,462703250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833885,322398466
1,0,0,462703375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1778833885,446438876
