iTOW,ecefX,ecefY,ecefZ,pAcc,bag_t.secs,bag_t.nsecs
462679375,-311172126,406354855,379336876,197,1778833861,436129739
462679500,-311172156,406354853,379336854,197,1778833861,560601690
462679625,-311172188,406354847,379336835,197,1778833861,686429129
462679750,-311172218,406354838,379336811,198,1778833861,811658093
462679875,-311172251,406354838,379336792,198,1778833861,936143386
462680000,-311172280,406354831,379336765,198,1778833862,66254404
462680125,-311172312,406354826,379336743,198,1778833862,182273054
462680250,-311172344,406354822,379336723,198,1778833862,312472822
462680375,-311172373,406354817,379336699,198,1778833862,435460607
462680500,-311172404,406354813,379336676,198,1778833862,562126624
462680625,-311172436,406354810,379336654,198,1778833862,687621812
462680750,-311172467,406354804,379336630,199,1778833862,812367524
462680875,-311172499,406354800,379336605,199,1778833862,936107755
462681000,-311172533,406354796,379336582,199,1778833863,61579267
462681125,-311172564,406354789,379336555,199,1778833863,188395574
462681250,-311172599,406354785,379336528,199,1778833863,313397478
462681375,-311172634,406354783,379336504,199,1778833863,438114672
462681500,-311172670,406354771,379336482,199,1778833863,561558751
462681625,-311172704,406354767,379336459,199,1778833863,687909900
462681750,-311172738,406354762,379336437,199,1778833863,811449226
462681875,-311172769,406354756,379336414,199,1778833863,934269709
462682000,-311172800,406354746,379336392,199,1778833864,66207418
462682125,-311172834,406354742,379336373,199,1778833864,188896536
462682250,-311172864,406354737,379336351,199,1778833864,313215796
462682375,-311172893,406354732,379336331,200,1778833864,435850039
462682500,-311172924,406354728,379336312,200,1778833864,561300698
462682625,-311172952,406354727,379336292,200,1778833864,687010209
462682750,-311172979,406354720,379336273,200,1778833864,812186956
462682875,-311173004,406354719,379336253,200,1778833864,936862486
462683000,-311173033,406354718,379336237,200,1778833865,66761688
462683125,-311173054,406354713,379336215,200,1778833865,187050911
462683250,-311173081,406354709,379336199,200,1778833865,312335586
462683375,-311173103,406354704,379336178,200,1778833865,436420583
462683500,-311173130,406354700,379336159,200,1778833865,561641232
462683625,-311173155,406354697,379336140,200,1778833865,687878092
462683750,-311173181,406354694,379336119,200,1778833865,809388746
462683875,-311173209,406354692,379336098,200,1778833865,935990682
462684000,-311173238,406354688,379336076,200,1778833866,65382652
462684125,-311173269,406354687,379336052,200,1778833866,189029587
462684250,-311173300,406354682,379336027,200,1778833866,314575152
462684375,-311173333,406354678,379336002,200,1778833866,438871528
462684500,-311173364,406354673,379335974,200,1778833866,563387767
462684625,-311173400,406354672,379335949,200,1778833866,684996720
462684750,-311173433,406354667,379335925,200,1778833866,813221056
462684875,-311173467,406354660,379335901,200,1778833866,939330136
462685000,-311173501,406354656,379335878,200,1778833867,68594861
462685125,-311173534,406354651,379335854,200,1778833867,189189477
462685250,-311173566,406354644,379335829,200,1778833867,314139991
462685375,-311173598,406354642,379335806,200,1778833867,438029746
462685500,-311173630,406354639,379335782,200,1778833867,558900902
462685625,-311173659,406354634,379335758,200,1778833867,688430863
462685750,-311173691,406354634,379335736,200,1778833867,813875844
462685875,-311173722,406354629,379335712,200,1778833867,938038019
462686000,-311173753,406354627,379335690,200,1778833868,68391207
462686125,-311173783,406354622,379335665,200,1778833868,187858206
462686250,-311173814,406354618,379335641,200,1778833868,313970182
462686375,-311173846,406354614,379335617,200,1778833868,436326231
462686500,-311173882,406354612,379335593,200,1778833868,564462612
462686625,-311173915,406354607,379335565,200,1778833868,689476986
462686750,-311173951,406354604,379335537,200,1778833868,812459253
462686875,-311173988,406354598,379335508,200,1778833868,937394499
462687000,-311174026,406354596,379335479,200,1778833869,67177976
462687125,-311174064,406354591,379335447,200,1778833869,189253038
462687250,-311174105,406354587,379335417,200,1778833869,315403131
462687375,-311174145,406354585,379335385,200,1778833869,441429345
462687500,-311174186,406354582,379335355,200,1778833869,565574885
462687625,-311174226,406354580,379335324,200,1778833869,690084327
462687750,-311174266,406354577,379335293,200,1778833869,814280155
462687875,-311174305,406354574,379335263,200,1778833869,939730367
462688000,-311174343,406354571,379335235,200,1778833870,70350826
462688125,-311174380,406354569,379335208,200,1778833870,190402941
