header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,bag_t.secs,bag_t.nsecs
1374,1778833846,624604157,gps,360991.2055562894,4065944.5961143295,97.831,0.0,0.0,0.0,0.0,1778833846,689348505
1375,1778833846,749604092,gps,360991.42538107,4065944.38169997,97.837,0.0,0.0,0.0,0.0,1778833846,815000909
1376,1778833846,874604028,gps,360991.66306591313,4065944.1669953424,97.82000000000001,0.0,0.0,0.0,0.0,1778833846,940000705
1377,1778833846,999603964,gps,360991.891279818,4065943.919153873,97.811,0.0,0.0,0.0,0.0,1778833847,70839226
1378,1778833847,124603899,gps,360992.13735379,4065943.671022136,97.799,0.0,0.0,0.0,0.0,1778833847,190672909
1379,1778833847,249603834,gps,360992.40110752196,4065943.4115061387,97.787,0.0,0.0,0.0,0.0,1778833847,316109218
1380,1778833847,374603769,gps,360992.67325037695,4065943.1185630276,97.811,0.0,0.0,0.0,0.0,1778833847,439641012
1381,1778833847,499603705,gps,360992.95450358454,4065942.836568784,97.789,0.0,0.0,0.0,0.0,1778833847,565517274
1382,1778833847,624603640,gps,360993.24432622705,4065942.532241426,97.756,0.0,0.0,0.0,0.0,1778833847,690264393
1383,1778833847,749603576,gps,360993.5520089469,4065942.227623805,97.732,0.0,0.0,0.0,0.0,1778833847,812209189
1384,1778833847,874603511,gps,360993.8595113823,4065941.911912201,97.747,0.0,0.0,0.0,0.0,1778833847,938544039
1385,1778833847,999603447,gps,360994.1580838134,4065941.5963457464,97.712,0.0,0.0,0.0,0.0,1778833848,69360584
1386,1778833848,124603382,gps,360994.4654059896,4065941.269540172,97.723,0.0,0.0,0.0,0.0,1778833848,192121865
1387,1778833848,249603317,gps,360994.7818385239,4065940.9536834685,97.727,0.0,0.0,0.0,0.0,1778833848,315722915
1388,1778833848,374603253,gps,360995.07148099266,4065940.6382621815,97.68900000000001,0.0,0.0,0.0,0.0,1778833848,439101609
1389,1778833848,499603188,gps,360995.35219345207,4065940.322986039,97.7,0.0,0.0,0.0,0.0,1778833848,564312205
1390,1778833848,624603123,gps,360995.66952756967,4065940.0625993456,97.677,0.0,0.0,0.0,0.0,1778833848,685551954
1391,1778833848,749603059,gps,360995.9870420103,4065939.81330666,97.654,0.0,0.0,0.0,0.0,1778833848,814179443
1392,1778833848,874602994,gps,360996.27740577,4065939.542261395,97.66,0.0,0.0,0.0,0.0,1778833848,938509653
1393,1778833848,999602931,gps,360996.5859902156,4065939.293113865,97.663,0.0,0.0,0.0,0.0,1778833849,69369821
1394,1778833849,124602865,gps,360996.8772555199,4065939.077538595,97.621,0.0,0.0,0.0,0.0,1778833849,189154774
1395,1778833849,249602800,gps,360997.1592302046,4065938.8399204793,97.596,0.0,0.0,0.0,0.0,1778833849,315258880
